mu,global_avg_wasserstein_distance,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std,wasserstein_distance_cohens_d
"(10, -10)",6.366072990716002,118.59902880154657,1.0022661396126515,3668.972636763036,5.450050751368205,1.3629760661909194,26.096497935612117,0.00013789182647589695,183.06707849738316,0.786877173855224,6.422369398355054
"(20, 20)",7.637796399207893,152.34610716516409,1.3535380593213489,873.159661172791,5.786500533421834,0.13729995467984488,2.78832048804004,0.30406882937335034,1499.8948036280033,0.551550340167063,72.73265645994272
"(5, 5)",2.934151784585018,101.37732848536336,1.0780699486461411,58.537370592991,6.126828749974568,1.046427035243194,37.28294135970625,0.035839899994559464,37.6065903116092,0.31883752564632767,3.8440542631191525
"(50, -50)",21.59844397178513,82.93052993832693,1.001568675132897,3584.417680898054,5.386857668558757,4.123227898230136,16.33404113097493,0.0005356286038103787,19.558007631922614,0.10504472178921927,7.166769265978417
