dimension,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2,0.06387186843823012,3.2554569107002145,0.1500126834216008,1.9034379720687866,2268.9542373018194,1175.4588383549785,1.00413566501664,,0.019356566833852708,0.03280796665480755,1.409929171325007,0.1152550126795123,1.878887951374054,2040.3086959463626,999.1255069062836,1.002994756929985,,0.016200752084662588,0.08794743972290775,6.645480306874822,0.19577266875243585,1.9733723998069763,2483.627076072439,1292.098140746204,1.005136157586378,,0.0220886316602736,0.16790455474402216,0.12383763268555634,0.0349511971473519,0.07049778555275608,0.06483333133295197,0.041889603035210436,9.558970852491523,9.112101282666947,14.240289800535264,0.019865440285787975,0.014733268062553848,0.004538244786890234,1.2608129522054035,2.468414133411674,0.018273234406588814,0.03138065138307645,0.0827394524378,0.9344253792441067,0.13522339218738463,0.45843927861397166,0.6484434199652713,1.1308716176041427,3.8615367752577816,0.00029772218071371666
3,0.06099125916510263,3.9915505508797855,0.14914991514744202,2.1916881799697876,3020.168475329704,1315.470571982638,1.0047936226120417,,0.017250492895850157,0.04334090525263429,1.9986132445788787,0.11821019956419505,2.047381341457367,2651.878551361764,1096.4889304761873,1.003222281175219,,0.0145202508862347,0.07992132468205951,7.844530474012771,0.1764209094320695,2.568068504333496,3276.2737449167967,1495.4581691808535,1.0064229157898104,,0.023290870479542446,0.1538878458942644,0.1147423024380528,0.017551066632292982,0.06922335576061216,0.06690402136278854,0.03298249810086033,6.978236557842592,4.160140665806643,3.204310588092301,0.02104146974680839,0.015327333483382773,0.0034543293313500953,2.2303797413762867,4.55952204064029,5.1661402558816386e-05,0.8794702681158362,1.778922991137412,0.08326655455974225,0.07032015557860716,0.25663839281691053,0.798377483242061,1.6541955660007364,2.398749494519476,0.02219728578270168
5,0.047828758676480065,3.799758228912514,0.1325069165902734,2.368628144264221,3606.810440559373,1402.161392250151,1.0069171406918564,,0.018807972647451696,0.03722080742777711,1.895870022098321,0.10769737578853189,2.242980420589447,2820.7642762557016,1112.9293643101184,1.0048517630642513,,0.014589704750276303,0.0709738817914167,6.137898741007002,0.19594781773537825,2.7263516187667847,3790.0347704851706,1617.2889530671664,1.0122679101303562,,0.024267199077453904,0.1763953061838575,0.12619841332791723,0.03896083229644166,0.058789558529957216,0.07147128387110122,0.043257986768163004,6.017109659288574,17.558402486420388,38.90074486496783,0.023112891684505785,0.014304845013396971,0.0022164100995171656,1.2883937507804422,2.262195028355675,0.02989760940718455,-0.2966856513209174,-1.5836984989911216,0.1230793346555735,-0.29316494568067814,-1.326359122376824,0.19060767332507736,3.9740148598978164,3.157925316764014,0.003588545580047129
8,0.05248065830947971,2.750672111779657,0.13949797857659862,2.428970694541931,3954.1472025968023,1432.2018266882533,1.011514557893015,,0.020756046310041843,0.04765019776398334,1.988948525615323,0.11721630208741139,2.3274765610694885,2763.878548415479,1088.7206233094535,1.0069363656461179,,0.016830744737098405,0.06511224047153727,4.015450896183573,0.1665606231731678,2.8415154218673706,4218.724654741306,1681.8211550163458,1.021883850138399,,0.027522458057007995,0.15522811472482448,0.11339288915780617,0.021057974457481556,0.05707861769468437,0.05977860255514033,0.017503793755633653,3.9037519756127073,5.2901625695130186,7.508952147847192,0.025762208084130607,0.014926568141260902,0.0022624049065139893,1.9866690241973837,3.46619594592565,0.001400002366132719,-0.18463436263844,-0.8977296283530573,0.37426630043114195,-0.1542514096172414,-0.5419243269952589,0.5900115674605872,4.789434425142635,3.4442578448305214,0.0017108853924587468
15,0.06001442101576063,3.4231847824286765,0.16074641007189694,2.5837403535842896,2613.229413345275,994.7753852392982,1.033240559158782,,0.028982625821358788,0.049439955515942664,1.831251926768472,0.13357183138611267,2.5108787417411804,1325.1520172748346,509.94324588356545,1.0206665433848967,,0.01949237015157823,0.08182656969820101,6.079190278354477,0.22967476831283778,2.692240059375763,3844.038687487693,1420.5487307125554,1.0700546983433152,,0.053090150539801984,0.20376286659961268,0.1355061413137583,0.05425011694570235,0.07843136668976053,0.07574623786053435,0.05940394501862241,4.516120712621768,33.73823263787832,138.8605150639017,0.040434789898118925,0.015364886321819074,0.002019407470947676,1.2581857722845264,3.1616563301889884,0.0028588739934477534,-0.2104421974224202,-1.1523027855763985,0.2585965566082524,0.045201187032013236,0.19043493832233402,0.8496556039848449,12.414484910534151,4.316601069755981,0.0001660474010373641
30,0.06500528372229404,4.522676369490721,0.23449337215820393,2.8013397455215454,905.2856712159926,303.5123451891202,1.0793740815240374,,0.04857041721910593,0.05387714894601431,2.6655115603300032,0.19029257118231538,2.6273140907287598,211.7557263966863,83.05161077344825,1.027013402228889,,0.02184727976840601,0.10714449186895318,10.408571849524721,0.4640383969537267,2.855200469493866,4005.4018876164973,1413.9730525192392,1.2120902433241343,,0.09334778781030384,0.33788676283380764,0.1177276121834099,0.018461263823903486,0.0948712268624111,0.06661469485642071,0.01301217073698519,12.70852027442836,5.218268933106581,5.743486711364124,0.06406440368836713,0.015600520513982885,0.002097662047449883,11.925464732557344,4.7998000548220165,4.3171568874025635e-05,1.3041296546401835,1.238266506884182,0.22497415084677885,2.171546360491208,2.2780032607083704,0.029725756771960994,23.10376127236584,5.177541407164336,1.5343223519111923e-05
