dimension,ws_t_stat,ws_p_value,ws_paired_cohens_d
15,-66.90224916831905,2.9904861232417546e-07,-29.91959539759803
18,-29.48335401640918,7.879892536115372e-06,-13.185356757076475
30,-28.579573254353633,8.920554810686989e-06,-12.781173712933922
