means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",DEMetro,1.6652301846139619,1.0360290566070482,113.1595742592391,12
"(5, -5)",DEMetro,1.317287728329421,1.017481596954556,156.81278589930312,10
