mu,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_dist_glass_delta,mmd_rff_glass_delta
"(2, 2)",0.8295281158917549,0.11730184904018513,1.3164516530603234,10.025722614597708,3.454226851463318,0.5226447036963767,0.0733558157337455,1.2204561601434365,7.650927602667002,3.24652361869812,1.1364154162115758,0.1631342331357944,1.4790205089369541,13.060867070203626,3.562491714954376,33.41237823483297,27.281301454197106
"(5, 5)",1.0815405962066904,0.15121073452318884,1.5666649485007054,6.965758809319262,3.359124779701233,0.6565038726989716,0.098552653887328,1.4045983874184718,6.180480236602446,3.1385146379470825,1.8546666387803195,0.2186444837478131,1.7172093697718136,8.487377310215134,3.455958604812622,33.45278016744478,33.20026613629056
"(10, 10)",1.7873596213785596,0.14818579751918154,1.8091469797943898,5.876929619150179,3.332731604576111,1.358369132583855,0.1150342253396227,1.7137803428731284,5.589174311975837,3.0718321204185486,2.5607446022432234,0.21930550340045082,1.9171087133471663,6.222071749215906,3.4017632007598877,31.642752880224325,40.579906255747055
"(20, 20)",3.5114082340032784,0.19705513184179707,1.7716724620286117,6.004697730288009,3.3483614921569824,2.695957394238267,0.12987474314079248,1.530564808635315,5.561299938955224,3.076451897621155,7.486235620932378,0.2874826445875775,1.9279326982912615,7.159561034936887,3.40615975856781,53.18318311454212,62.910604825617874
"(40, 40)",5.583213839473197,0.15396591717899175,1.820797707435819,5.86070697371797,3.3396955728530884,3.775237345183127,0.10900133016009979,1.6243168565804578,5.50247925719345,3.1006471514701843,7.462806131786904,0.24376000597840322,1.9639263342919173,6.605393389393484,3.401456832885742,34.98286096754555,41.45229832510674
