nu,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_dist_glass_delta,mmd_rff_glass_delta
0.5,5902.184373746484,0.054722337677246935,1.0216034478779934,873.0227629701507,0.7217384576797485,1751.3381414678347,0.04402445152308779,1.0150440178044315,802.5992453631459,0.7182415127754211,14794.009668991976,0.07320498333636889,1.03219308993661,985.7574826430972,0.7383729219436646,-0.28823820148597307,8.605739828018779
1.0,3.193206450587838,0.052155242451679726,1.028095616734344,448.05617154503244,0.7234395742416382,2.4029631649789853,0.04090344543291914,1.0181390182404213,403.0190080627913,0.7196441292762756,6.701390702634517,0.07149031844471085,1.0437315104973992,507.14729196831547,0.7413084506988525,-0.08495136413323807,8.518521658531395
2.0,0.22033135307194684,0.05602700178738959,1.035341854868795,252.6503385386548,0.7370176315307617,0.18558453806953512,0.043517129746821995,1.0244434655691232,222.34726048678985,0.7269976139068604,0.25051028046482804,0.07918961358060235,1.0526198377393858,283.81621309872804,0.7460289597511292,2.0442308823293427,8.165105146924237
5.0,0.13464179168142182,0.05811967240325576,1.0424938048657864,169.42749063248544,0.740763783454895,0.10950683606355735,0.04569904846614462,1.0327124937433525,147.08840056665548,0.7366074323654175,0.16095533791082128,0.08224002094802468,1.0616243866757171,192.7772721743056,0.7476150393486023,8.740388839007538,10.622534254195378
10.0,0.12558590064536446,0.060070158291379995,1.0468246420886056,147.17224463621633,0.7433927059173584,0.10135180744413937,0.04645298064339432,1.0344931191955369,119.58794757913265,0.7380473613739014,0.14729243709103093,0.08101188778345854,1.0686668286575085,167.03049834147663,0.7573935389518738,7.878052713262766,8.30755075183533
30.0,0.11117309615177222,0.059004270007592896,1.0485801361005618,131.3028189628642,0.7433043718338013,0.09244481125223829,0.043309813887518894,1.037548499556057,103.66939839361454,0.7384517192840576,0.1527559500196726,0.08668754720061969,1.0670890588164792,152.86201474030102,0.7605623006820679,6.915423639704975,6.698580109213606
100.0,0.1134467311559734,0.06094720563183716,1.05072275584005,126.27624032944252,0.7446385622024536,0.08929461892726936,0.0410779406684323,1.039318593214255,98.4521423066706,0.7390094995498657,0.1379471818465588,0.08060244424561941,1.071563997891588,145.93878336148055,0.7577287554740906,9.48833119792354,9.351015784033034
500.0,0.11331659177582121,0.05291566239896006,1.053635668067734,120.21140888650888,0.7547540664672852,0.09437265611463289,0.04438999052271563,1.0413376050806504,100.1123688246243,0.7512977719306946,0.14495143445594938,0.08886252658091681,1.0786075403834579,147.14304189700928,0.7667168974876404,11.671940062809988,10.185052086295192
