mm,ws_t_stat,ws_p_value,ws_paired_cohens_d
0,-26.51499492471303,2.2852908048613426e-13,-6.846142251212516
4,-18.91312019342052,2.2903694804141328e-11,-4.8833466355957915
6,-29.726040347201774,4.7347936575603215e-14,-7.675230614226814
8,-28.01436271020313,1.0722510209895725e-13,-7.23327734874872
10,-27.051606457810717,1.7350308280039224e-13,-6.984694753283861
12,-32.254429199174865,1.5334627072902908e-14,-8.328057808655366
