mm,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
0,0.1410304172009188,3.575847453087855,0.2553184134037165,0.932110071182251,308.66829075026874,313.25381642915903,,102.5,0.03706624859894608,0.07977103455727963,2.756775467489712,0.2106182484057989,0.9292463660240173,251.68786612723642,264.8476591381307,,96.25,0.03036883795046195,0.17313853903156184,5.748681342374841,0.3307817316508855,0.9356917142868042,347.3008409792697,360.22350208060453,,112.75,0.04429267098957433,0.28226818802332276,0.1226385231002139,0.043649303740905906,0.16438980047011412,0.05587684792020672,0.030902425023621588,5.6088403277815235,12.635445068621813,33.27392871389474,0.03830665638273444,0.01474752327132169,0.004332192963161969,3.657095331248367,7.3381079369251285,8.918816765111846e-09,-0.211174484421675,-1.1359976173934692,0.26462913255257464,3.511470457964412,3.9082543181143414,0.0004619175710452212,5.43815414311958,9.819746346903534,1.0170631341611456e-11
4,0.14414200936901178,3.7122991537440946,0.26089703905485606,1.1062633991241455,310.5145305603478,260.88398743203925,,206.0,0.03112844812774137,0.09384433413144894,1.824386424906662,0.21776482058419674,1.102327048778534,229.02178682767035,178.782432632269,,195.0,0.0263172235507904,0.20291674127551773,5.407326825539697,0.30890885031734305,1.1091119647026062,334.1036360597379,298.3493746876594,,211.75,0.037429447655537976,0.28664202272742556,0.1299176848822054,0.0396493279822703,0.1701667653063233,0.05633219595915751,0.025745638740578735,4.227321242829907,9.021253924190999,17.701962261835334,0.03490133174459417,0.012263342597105374,0.0032034855070876434,3.952761517554634,7.263680694014958,1.4283447539572173e-08,-0.27081363130553066,-1.4636387142026852,0.1535009000807986,4.4215088424955855,5.109996127099124,1.4790553287934519e-05,7.06667443863964,7.442878938414958,2.103976263492664e-08
6,0.1796119694566867,4.46138215846321,0.3196699986625121,1.104929804801941,304.60942173437957,240.6388716912466,,212.0,0.03541420363197508,0.10494543419317713,2.5142799885430276,0.2878899003782367,1.1013904213905334,228.22992796105618,200.50633316822714,,200.25,0.028371927550471326,0.2529072601100148,8.306662616178821,0.35585666096336155,1.1091620326042175,315.64429630362224,283.3135367505567,,237.75,0.04940684645658667,0.3260767957196765,0.1555703434306139,0.04750860662270374,0.1952821458555936,0.08436961839973132,0.051037527323439996,6.244154710848362,15.22217623771809,35.975071312407714,0.03815167089155773,0.014356999386819256,0.005688565262198606,3.588959230969738,9.507205988800955,2.3639819410352606e-12,-0.24956229965201573,-1.355966202730817,0.18524963385759308,2.173156366941066,4.648748522872118,3.7487904159109015e-05,4.18289505490211,8.308041962268586,4.912878479949016e-10
8,0.1793880303813884,3.0693617956986996,0.2781042991782342,1.1046781539916992,252.14992436739706,229.24834461394306,,201.5,0.031009389266909396,0.09837553559252225,2.2653370054995867,0.22891938028368952,1.1001479625701904,230.30190476421586,204.4060852234407,,190.75,0.018501767410960865,0.3133241958127854,5.4901865123201565,0.3777304819711837,1.1069490313529968,287.73496641871,260.85115332149195,,216.5,0.04529812050467173,0.33925936470362483,0.14479807327324576,0.03981750980644561,0.2280905614010408,0.08011553529464642,0.05798604426418332,4.9479397310007025,5.810759351905344,10.533690722536146,0.03778824450228779,0.013009029199533362,0.006460521635867672,4.883813487474797,5.439469129689792,5.802134551383081e-06,-0.08191047597958187,-0.4005520856300246,0.6907394310306278,2.5519075836976044,3.7158144748414332,0.0007389640805784482,3.8354821327715425,3.9708249060129317,0.0003937091361385073
10,0.2555613659567163,3.080320706382311,0.3856152196862746,1.102868676185608,241.7221377259499,205.4082739599641,,182.5,0.04402405345718123,0.11753969445571338,2.080658595783593,0.28360821081838195,1.099895715713501,203.88184932147698,182.51047812617946,,173.25,0.023819171069554508,0.4640505622982386,5.431387469793068,0.5685494444446242,1.1077213883399963,289.02420824486296,249.1644039950241,,193.75,0.0699855872359343,0.427185269053689,0.15917819191208962,0.04822954148557382,0.3062916288042568,0.09648381293458085,0.05463289553996754,4.101287696247298,7.441208966723541,11.231749501535939,0.04868009658470361,0.012422578282523616,0.005984987654522423,5.556907009405517,7.967825622174522,3.257540236964866e-09,-0.2973642948517957,-1.5820969189682037,0.12332443361487253,3.84032026485193,5.379766495792605,5.992918902439191e-06,6.058077375445011,6.481678204605386,3.004571317574203e-07
12,0.403366994839748,4.2164375088328505,0.5165184854432715,1.1055058240890503,216.72868703634555,167.85267096500672,,157.0,0.04978751436042651,0.2961693241197335,2.6870952785830546,0.3917555304694375,1.1029333472251892,40.876591619781664,37.0533202033352,,136.25,0.03432441154045204,0.6093359592974799,8.576129292705023,0.6798934665809697,1.1096318364143372,255.18709659143863,221.3349024416106,,169.75,0.0868190538713577,0.6198551962919375,0.16787445148505098,0.10686457514913082,0.5341028093220092,0.09102405263760066,0.10756610963398512,7.1358896243685885,72.26686647768457,371.3334527853286,0.06924756618737599,0.009627290790226025,0.0035942962139696097,4.2294721536687145,7.044425390018956,3.428595846589776e-08,-0.175397547311658,-0.960504574500484,0.34473572820556964,4.119129697932474,6.243243456540404,4.28554532321392e-07,16.587468546813003,6.1377297099705785,1.051736698981091e-06
