mm,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
5,-37.35490065358553,2.00772456662931e-15,-9.644993875371288
8,-22.100712631738862,2.7655820298725316e-12,-5.706379464136034
10,-20.70509381064474,6.7196424679790404e-12,-5.346032234019289
12,-24.912656408602174,5.377281365101589e-13,-6.43242022535358
15,-19.88028566724744,1.1665001362884425e-11,-5.133067687139689
18,-28.863206880922053,7.107214343578434e-14,-7.452447971196696
