nu,sampler,wasserstein_distance,r_hat,ess,runtime
1,Metro,5.784552307287979,1.0549437020352965,285.71274580308597,8.282879829406738
2,Metro,0.19879000497474353,1.0286243737519607,895.2686216322527,8.271805047988892
5,Metro,0.15642952104641705,1.0251802392451181,801.1785232072523,8.158845663070679
10,Metro,0.27973914503692615,1.026567105750375,701.4272051996719,8.122799158096313
