dimension,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2,-8.11608404707994,5.978454855295934e-09,-1.4817874370645014
5,-9.790303586609932,1.0650851013388958e-10,-1.7874567064033309
8,-11.806355015312125,1.3438586762348954e-12,-2.155535654600234
12,-14.060418246062135,1.7601139459133546e-14,-2.5670694137751515
15,-17.043981164139705,1.1919800266031937e-16,-3.111790984430826
30,-25.31269017931545,2.542033811591679e-21,-4.62144380078352
