means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",Metro,4.256068710088516,1.7430899721773094,6.284820944792923,12
"(5, -5)",Metro,1.316424801553962,1.5835611630933715,7.0857955917808795,10
