correlation,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
0.0,-41.36608501091257,2.435921346362286e-27,-7.55237929205105
0.3,-40.98874640198815,3.1637249223749176e-27,-7.483487002742542
0.5,-39.24052393931153,1.0958520001433668e-26,-7.164306709960802
0.9,-38.624171323073185,1.7199740714791635e-26,-7.05177663286378
0.99,-28.205959957968595,1.2407598130215857e-22,-5.149680175022289
