correlation,ws_t_stat,ws_p_value,ws_paired_cohens_d
0.0,-29.54055016456693,5.161784126584072e-14,-7.627337255011499
0.3,-21.516633034769406,3.983515716953175e-12,-5.55557076067455
0.5,-24.116141967316935,8.392946178140507e-13,-6.226761080946151
0.9,-17.603865570409,6.019490057134604e-11,-4.545298545537879
0.95,-28.747373387574125,7.512228810293691e-14,-7.422539891818725
0.99,-11.930963765617042,1.0071982372020628e-08,-3.0805615978959286
