correlation,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
0.0,8.036586615493116,865.1412147716791,21.917713913585107,1.3543448448181152,6.872051233004952,5.0146598940727385,1.6269340772207952,,0.496227012750074,7.439911761897947,800.0351228074982,20.034300799539817,1.3192247152328491,6.2297412955948275,4.634745138711416,1.5738398644554341,,0.4767160919940283,9.638360459926988,1211.532104509267,24.201894574440715,1.3681354522705078,7.085851783884683,5.245161047363284,1.7474214226717273,,0.5179031491167934,21.942585809477013,0.11395895456359267,0.028001620644493946,8.482728104210315,0.06749226137154622,0.024821684774539682,960.6587339019874,8.592426770537543,20.293606143325633,0.5000303086421483,0.014803105122924716,0.0009834032962615046,779.5486958432764,29.444929664002583,5.374701448755889e-14,46.91459469585572,14.133565158230452,9.526450180283176e-10,339.0275849232651,18.06032567644381,4.2406067081604305e-11,493.4162874619783,59.75236148155976,2.7316699033103376e-18
0.3,27.524488497276977,9739.578080225187,74.89513942079222,1.336878776550293,5.940880169007541,4.320637367689488,1.8097381108998913,,0.5339683339185188,25.245400931146964,8425.754633670622,67.83662967775803,1.3180452585220337,5.412911542736283,3.9372188630389333,1.7830105371843181,,0.49216899652040924,40.06451753842244,12174.378092714484,86.24770799550333,1.3724108934402466,6.043757254619724,4.47050743878159,2.0692004465293983,,0.5725167153026512,78.74508573460695,0.12068662440831718,0.021126256146954802,35.70921404987844,0.07517392581660326,0.02187497595171517,10564.663745773612,9.988356297654798,11.24764927857999,0.5371636893011069,0.01475380960140905,0.0015172162051137188,3721.643748105921,21.7104276701047,3.5253373739720973e-12,938.3894472577722,12.174476167549367,7.767672765859878e-09,1628.98648221224,7.515028587585334,2.8139466957257983e-06,344.3213155375849,36.667051677964594,2.499374126071024e-15
0.5,11.033471945492426,435.3758420839528,17.542108837757155,1.3461511135101318,5.621645808909355,4.088645261991406,1.95639601456014,,0.5948834962491073,8.559729622429742,335.3910011868503,15.56334036529539,1.3321845531463623,5.333637116166089,3.9295359462491355,1.7988437882383908,,0.5366529321546418,15.043420096413993,588.9682398741877,18.860770234808417,1.3538031578063965,6.044902405235041,4.543707350561517,2.130252773204491,,0.6220146984898569,17.593474807757993,0.1180321576633511,0.020526666343907204,11.406393148426446,0.06903566783842795,0.026592740809148457,494.07174357120186,8.12807570157853,7.631510237241627,0.5850132573764065,0.014813302466232258,0.0017861634776707238,851.3531791917962,23.66674729633739,1.0835217308910608e-12,63.675950468916014,8.799996285877256,4.354525636273746e-07,426.33279367306625,10.686986691413805,4.073920431064802e-08,319.2316728218813,32.07988373026616,1.6008852721237307e-14
0.9,40.4238903428805,1656.7359809543361,42.79780579922317,1.3197689056396484,5.280959104094822,4.053910399500363,2.0987377104000076,,0.716970212151159,31.423520562230507,1404.2875655871967,39.96629921234226,1.300620198249817,5.100259209675581,3.873167749576816,1.7847290264014732,,0.6368078008441855,54.0590964370614,2143.735081932731,52.0884011464173,1.3427000045776367,6.096582027497001,4.649946244818953,2.249104368251488,,0.7978563225543491,45.11184260144031,0.09378082819058293,0.00986093127097795,42.54831157963199,0.0413106949932406,0.02509943778810037,1794.4207861199866,3.1529610393440257,2.1792055720098866,0.7262899624424829,0.01511983364916438,0.005738945095558044,4565.295156832089,17.458422117626192,6.728653988502822e-11,821.9820323919931,12.023853115250043,9.1150153260419e-09,1693.543944828569,10.204444984386939,7.265607800202648e-08,123.92000915704278,22.35451760523912,2.180382092353633e-12
0.95,91.56532089103541,4640.993273591287,90.3374205015777,1.3473069667816162,5.232914168954941,3.9356455765006717,2.131254370708527,,0.8287914691749848,86.04966653845727,4136.537337913724,80.9822134333146,1.3251760005950928,5.041113934287429,3.675406371306373,1.9396426541135368,,0.7688958887136863,108.63931357668773,6652.654169310796,97.55652784024207,1.3632547855377197,5.570862714081549,4.220090574747985,2.305009242364198,,0.8884780160972889,90.19334502223032,0.09361230468844324,0.018495345344388035,95.3629566638986,0.052778259752915085,0.031554643734122784,5417.926543116814,3.5622463590879505,2.643237607223427,0.8217926480282155,0.01406765551700903,0.005118450686601157,4871.481501959651,28.93829073363334,6.856489315609253e-14,2048.383498313348,10.091966827492726,8.338744260596648e-08,3020.4802566374246,23.42589336389087,1.248549820529547e-12,157.8065399019339,40.41574048897142,5.314321364497584e-16
0.99,29.15844287924838,936.0498710385361,32.780867493308776,1.3416292667388916,5.812777520473983,4.377042844426249,1.8649852560230624,,0.6939648705819516,19.84643660280703,793.4468517584501,26.39998512928551,1.3205318450927734,5.4573621690649805,4.004988358242388,1.8193976794386302,,0.6531516556104996,41.0548491857281,1022.4245622374797,39.66611523419145,1.3668760061264038,5.97565086762379,4.4655727869657,2.032433236786818,,0.8377053482265175,33.88950889714659,0.09527794087320411,0.02147125082896246,31.010393981746397,0.049128996886038445,0.03053954749886967,1049.826328744765,5.817582453853335,5.9191896824463965,0.7246761553971589,0.01522466143137812,0.005589396235554576,1573.929307867268,12.928835213518791,3.5714606482120295e-09,176.3769708862284,6.837285749761473,8.08875413536467e-06,1013.8088976598718,8.01948489776395,1.3311306232552803e-06,126.92810888104617,21.985927298626777,2.755246941724133e-12
