mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,-21.427015008637,2.5153110421062e-19,-3.912019820077412
8,-22.816221323436082,4.490715558476658e-20,-4.165653031958772
10,-20.701609808979086,6.43566300367747e-19,-3.779579556349353
12,-20.617870222652694,7.1861954276680985e-19,-3.7642908695536477
15,-22.47788176447547,6.772211973127305e-20,-4.103880962445746
18,-20.41089380192621,9.454564547118767e-19,-3.726502318052456
