mu,global_avg_wasserstein_distance,global_avg_reference_swd,global_avg_relative_swd,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_reference_swd_std,global_avg_relative_swd_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
"(-10, 20, -30)",0.027196947482179,0.0274838791064868,-0.0002869316243078,-0.0338359892830109,1.0043266353126463,5461.963363362255,2.5345187187194824,,,,,,,
"(-5, 0, 5)",0.0270923343528037,0.0291499118671255,-0.0020575775143218,-0.3498909382180789,1.0043159158246375,5461.963363362255,2.411673069000244,,,,,,,
"(0, 0, 0)",0.0263096105119205,0.0267080446592916,-0.0003984341473711,-0.0687855667126792,1.004321515377484,5461.963363362255,2.5531251430511475,,,,,,,
"(50, -50, 100)",0.0243349753719269,0.0263988051942553,-0.0020638298223284,-0.6259430005791589,1.0043266353126463,5461.963363362255,2.5593340396881104,,,,,,,
