mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.25989331049553993,1.0330242331791941,601.3381961217434,6.09187126159668
6,HMC,0.5702293818867326,1.0882551606936288,155.7398815636524,6.068331956863403
7,HMC,0.7884701823650739,1.296630799032665,51.39032964423322,5.888332843780518
8,HMC,0.11276147344671408,1.58473020094931,33.85018075250931,5.85900092124939
9,HMC,0.3793717354483699,1.6619607370948637,31.874609730696385,5.833236217498779
10,HMC,0.2086841419865833,1.6277762907139424,33.64728567877323,5.900906801223755
11,HMC,0.06498741522357669,1.675896709542824,31.614043799079706,5.894817113876343
12,HMC,0.05442364662331693,1.6742690655401593,31.629093471748128,6.118463754653931
13,HMC,0.01989622559928285,1.674404295610032,31.59438130806636,6.051685571670532
14,HMC,0.03849434434279241,1.6745329018099167,31.615047102379705,6.020594120025635
15,HMC,0.03771878299492025,1.674653433516199,31.70569655522149,5.836493968963623
16,HMC,0.14660969912591132,1.6745490940566923,31.687233556620193,5.782493591308594
17,HMC,0.021361795247358296,1.6744898213465704,31.628637451887343,5.913471460342407
18,HMC,0.044233280969682355,1.6744398902005817,31.622092853225062,5.874969482421875
19,HMC,0.047369885663099076,1.6747284419950725,31.65189149986747,5.869100570678711
20,HMC,0.026437277414330173,1.6747006979619268,31.606949685080277,5.810242652893066
