a,sampler,wasserstein_distance,r_hat,ess,runtime
1,DEMetro,0.14339093591637359,1.0047768057792525,5164.738371427525,9.409770011901855
2,DEMetro,0.15187666832405552,1.0074260245934143,2993.294000422329,9.585304498672485
3,DEMetro,0.2819974091739684,1.0054718787682888,4366.026913134191,9.228608131408691
5,DEMetro,0.41378356076709516,1.0093114703609727,2910.935996267839,9.319590330123901
