nu,global_avg_wasserstein_distance,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std,wasserstein_distance_cohens_d
1,4.070130515392631,-0.1541507941276166,1.0483726101095039,131.85337958414712,3.221994956334432,2.2474511541633357,0.8164569374267981,0.019095767955365942,61.45253791560229,0.180395066107961,-0.1688670139661242
2,0.8368797368311625,12.696745499654364,1.0297832694389744,130.5036963348873,3.5192784468332925,0.5056719141808055,9.978403428856183,0.015975789247253923,7.018324031744962,0.37178735651545936,1.790508349016942
5,0.32266500839123813,5.635107421989464,1.0420208031685405,136.95080017533246,3.396438201268514,0.17500746733397027,4.335360864218887,0.025338861942571452,25.995488755436668,0.21993829969216025,1.7911648700036593
10,0.2888598853666573,4.21125609907684,1.062040239046579,93.86504144018413,3.608392079671224,0.08046747049130933,2.537937424863541,0.03649664404981648,57.204691902921695,0.37235555093358386,2.1832693135875605
