mm,ws_t_stat,ws_p_value,ws_paired_cohens_d
5,6.169996600101426,1.0001624965326578e-06,1.1264821058685774
8,6.140893090771414,1.0829301366279888e-06,1.1211685563477076
10,7.267118884934067,5.292276642034067e-08,1.3267883137833927
12,8.06432357167245,6.810918537181271e-09,1.4723373104085433
15,7.062150704985855,9.076996962814659e-08,1.2893664152072548
18,8.65395099575052,1.5746915231354275e-09,1.579988057305618
