mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,-0.853304116888103,0.4041202629237418,-0.19080460108422245
8,1.4605745978084241,0.16047190713275927,0.32659440869090517
10,2.492397704323292,0.022091459243555142,0.5573170693831302
12,0.058258514787742584,0.9541510732195841,0.013026999933356914
15,2.242498275685979,0.03705382611903232,0.5014378583859912
18,2.431487106509843,0.025102224167993716,0.543697045657028
