mm,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
0,-100.83192172579142,1.7785566465331025e-38,-18.4093060152704
4,-103.78382085370902,7.720102124192475e-39,-18.948246595217164
6,-86.46366300278143,1.5135594470271962e-36,-15.786032877049418
8,-37.814569668958484,3.142642370880078e-26,-6.903964270013074
10,-22.32703897278577,8.147983401060108e-20,-4.076340962563912
12,-15.990361570544758,6.38393443537362e-16,-2.9194272449503664
