mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds,mode_distance
"(0, 8)",HMC,0.45917062055368896,1.4386700639153187,7.899062088440289,"[453864, 795164, 519450, 814979]",8
"(0, 10)",HMC,2.499687724989223,1.5277069955154678,7.059204369487255,"[453864, 795164, 519450, 814979]",10
"(0, 15)",HMC,3.696315903971413,1.5277588654615832,7.066863930237937,"[453864, 795164, 519450, 814979]",15
"(0, 20)",HMC,4.9795859321072005,1.5278468137663945,7.054551656569986,"[453864, 795164, 519450, 814979]",20
