nu,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2.1,34.19575830607883,2179.9194469465174,44.00267048690726,1.4620261192321777,5.4319609130709665,3.7200771393703698,2.0419293145648094,0.6587209979865168,25.763734312605735,1713.1349521839072,36.97999118675118,1.447171688079834,5.151909104876901,3.417367548802194,1.7669529621903528,0.590906333616345,39.050214404105496,3606.8319810847606,50.19884901323737,1.4728965163230896,6.110674557872437,4.148720920270495,2.2507972030750505,0.6932608443335762,43.95348953250655,0.10420826461392856,0.025945143819679262,32.96775322812586,0.06915121313583647,0.035103019511026214,2533.6962839612847,5.194596270496125,11.991578621883917,0.6519032708273031,0.017119066544542354,0.005449483522490019,1690.0766313977092,26.86384623246133,1.4073792652736086e-16,210.85644913142823,9.72130140372381,8.26512492868565e-09,937.2014850362441,14.838768628542551,6.652748684429837e-12,116.4852048204213,40.90319385798324,3.595892285058797e-20
3.0,3.3798212606771045,106.52998663715186,7.710000076729823,1.4636871814727783,5.250969027750209,3.5815667025270863,2.1511711468188093,0.5800538676136207,2.5246551968403907,83.2780637797196,7.022766853922548,1.4459592700004578,5.016131006400726,3.4021693973127105,2.0061355644756738,0.543004772987871,5.049637929682868,152.1902830913781,8.934121240146487,1.4740660190582275,5.47478744012065,3.7735800810514335,2.344629150833884,0.6129055259117533,7.785874737979074,0.05643911420580967,0.009762238572067193,3.9940362282756623,0.03245702642470693,0.018888887563672276,114.96410131485868,0.4105721761093579,0.2726918749884343,0.5764674073994762,0.014820595211557893,0.004601173067827043,791.768769705095,22.342497375125923,4.206579812686457e-15,420.0841302793048,11.430805203242533,5.855399422036589e-10,209.7306783417989,8.756408664687397,4.264812880947408e-08,122.06600445333011,44.76074246985776,6.209602989087748e-21
4.0,4.175411103072044,102.34778680582643,8.071380532601609,1.9326512813568115,5.038357069334866,2.680791305226534,2.279311643388741,0.5850034511965689,2.399137749630012,77.2184270259466,6.822112570245748,1.921769380569458,4.81774310374776,2.498870834295504,2.085176883157903,0.5555886468791833,6.671171526680392,138.69752894886204,9.16567939944715,1.936987817287445,5.2983853832481325,2.803854961924162,2.575477399358279,0.6405919246302955,8.07278915130328,0.040329266173606285,0.0073366721294733876,5.089034261933003,0.025691136029346185,0.014503426624173012,114.71561761705786,0.1466057309821531,0.08757437730396926,0.604213401507107,0.014015252837124247,0.0035856049080415777,1094.836970138153,17.831473433459227,2.536044310361807e-13,1308.2480905163447,10.03054174619274,5.010329941163327e-09,349.1135755094269,6.711338927906747,2.0491301491858886e-06,164.60211423359056,24.717007548461236,6.218879640435164e-16
10.0,1.91017227223592,26.653873354233184,3.482601905640198,1.471717119216919,4.92323597897331,3.3198334352227405,2.4150447154824457,0.5827581166441371,1.253878125337211,17.98507075369543,2.9042430705534796,1.4638631343841553,4.66703968613959,3.1494978712620068,2.1373448469857337,0.5356565170882357,2.889022890153826,40.5043570095539,4.499199516212746,1.4848878979682922,5.258364121033928,3.4865574286882826,2.8445259640037905,0.5958028261363602,3.7362857795544357,0.02815139888524958,0.007758985184145935,2.364916401067777,0.020603251720758785,0.013790852323496383,29.95277312645071,0.033802459696846046,0.015269127145946144,0.5755280005848771,0.01285731341097772,0.004601775206985535,477.91486807399497,15.425106354601853,3.3574568464874425e-12,1959.442106990193,8.849580329256483,3.627157770737694e-08,169.9904468814344,6.999773435495097,1.146580797376787e-06,122.27252785398129,33.11247743344046,2.3036495941474544e-18
50.0,2.1461134031781075,24.62806345456186,2.9695719913176823,1.4615819454193115,4.630062001868669,3.1927875898541123,2.8389965288596883,0.5950881869638829,1.1916821244310833,11.80578641527027,2.374864264891439,1.4444794654846191,4.503667296032669,3.1257896042156768,2.5950497920878144,0.5318083351792044,3.020171834785132,31.515079365391767,4.14747431778925,1.4743055701255798,4.783491244712573,3.246066006081863,3.1437528417143508,0.6292078278788118,3.1656300417345085,0.02543604665221616,0.006356840794878348,2.337404232062778,0.018730844573315863,0.011800400124462365,24.178434402942237,0.0340225725025759,0.01817952246987021,0.587551304924979,0.014084259471495974,0.005054814082748695,493.986572325725,14.086870522633095,1.6506503686761327e-11,1328.1103434072786,7.572555317911285,3.7512953379337076e-07,196.49108191533486,7.393096796436478,5.295321119575392e-07,113.44968104972209,31.027466916688688,7.794303198459311e-18
