dimension,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2,-4.173293565830021,0.0009380320509057552,-1.0775397652862826
3,-25.14160724731869,4.743304803161288e-13,-6.491535077716865
5,-63.632768691868385,1.2096363208426164e-18,-16.429910227778333
8,-30.85746186245703,2.8273474467696182e-14,-7.967362393301771
15,-78.3044764761765,6.675922350891297e-20,-20.218128888381468
30,-8.408790354814679,7.630495496583633e-07,-2.171140333729787
