a,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
1,0.08580617159344672,1.0019660605885359,11000.457934247477,12.827848744392394,0.036970722932297626,0.0007474714894653396,1708.1850872079337,0.4400814058367319
2,0.14428916646801132,1.007281595215323,8006.025188900744,12.655960655212402,0.13906734984663988,0.01664265766255561,2990.8876358092703,0.481288575740501
3,0.17207135570401527,1.0031864020062193,6807.800878316113,13.001922130584717,0.20587354335738994,0.0015930281963132784,1138.8245539979566,0.23880993820734
5,0.2317927876121117,1.004884234254685,4485.5619957077015,13.550037384033203,0.16588860264312072,0.0016568633191968848,1150.6585316489618,0.4767156855285897
