mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.042820471658748895,1.0092326607308633,2212.648561796152,6.826914548873901
6,DEMetro,0.030193738705884193,1.018539259491356,1589.2686931006917,6.99143123626709
7,DEMetro,0.0484355079386206,1.0317436806777103,1090.9500864232798,7.866267919540405
8,DEMetro,0.09390164481919569,1.0307080884695148,572.832332266837,6.986335754394531
9,DEMetro,0.0365380348405598,1.0626884563822387,322.6919127097334,6.85546088218689
10,DEMetro,0.0540123064155969,1.1031516210199905,146.99668856544633,6.962428331375122
11,DEMetro,0.3451969961871543,1.16162617384295,85.31849896352708,6.92793607711792
12,DEMetro,0.23972894876823342,1.329310294481037,48.81664868658137,7.860352993011475
13,DEMetro,0.14056080440223778,1.3220771200698056,49.89988264234083,7.260234594345093
14,DEMetro,1.0353142515969787,1.493231919025285,37.596500343091996,6.935014724731445
15,DEMetro,1.5298558556687303,1.5786095715739565,34.25281087716669,6.928232908248901
16,DEMetro,3.1494005017678637,1.6904742765323186,31.54775554190742,6.956628084182739
17,DEMetro,2.574552826644882,1.678482054783226,31.695751470409082,7.499558687210083
18,DEMetro,3.622720131063923,1.6865785949096828,31.582912233522954,7.263021469116211
19,DEMetro,3.759597948589404,1.6811089489932582,31.89036388613451,6.809574127197266
20,DEMetro,4.080375118033809,1.6836526699852896,31.72879654977539,6.831675052642822
