means,sampler,wasserstein_distance,mode_distance
"(8, -8)",Metro,5.744435062826703,16
"(7, -7)",Metro,4.97147727857995,14
"(6, -6)",Metro,3.0880839617380444,12
"(5, -5)",Metro,2.271612321184138,10
"(4, -4)",Metro,0.7432840544197414,8
"(3, -3)",Metro,0.05948654016378642,6
