dimension_mv,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
2,0.13788196407641387,0.023928975741075727,,,3.3043816089630127,0.11775263024705798,0.020686913857897754,,,3.12874299287796,0.20749862960360504,0.03159825225291725,,,3.598378360271454,0.17288974501247656,0.11715079181924175,0.03793583624095221,0.026336587548245038,0.018242249187469448,0.004622887364356931,1.469295492504892,1.7509270122356868
5,0.15691041626205093,0.02934741866172963,,,4.478288531303406,0.13645265750259708,0.025348409732735524,,,3.9117701053619385,0.21027689770283076,0.033402821747143985,,,4.8479490876197815,0.17940532879790197,0.10541077512946474,0.03248322600070119,0.030398857528533028,0.019262909805447145,0.002101513752999687,2.2779311902961843,5.299012536649119
10,0.2362591650212563,0.03472575243771726,,,4.162969589233398,0.20039100528367382,0.028725302384616205,,,3.7628292441368103,0.2943246033667214,0.044812920369345255,,,4.845739126205444,0.25536971402184044,0.12294282429010374,0.10934626516665939,0.04489822977797473,0.02185272618860806,0.0019531167008352498,1.2110783073376958,11.799347975218925
15,0.2354704250249158,0.03389317980347932,,,4.341646194458008,0.2001307474004099,0.026929435809277504,,,3.8703585267066956,0.3189457632202463,0.043318968902543505,,,4.955017328262329,0.40682878053193355,0.10160778272938213,0.028107924424574934,0.07354599568300771,0.022341022279115982,0.0017150833122034667,10.858894922020452,29.8556770038802
30,0.3681092583975544,0.04345769051226782,,,4.166823983192444,0.2638384467420687,0.029187447681038658,,,3.4818532466888428,0.5536224414901807,0.10209877906020066,,,4.738306522369385,0.4539901567806002,0.10360624859424697,0.0360682078791722,0.09431955833433145,0.022279115986215216,0.0007217133880923564,9.714480668408383,99.81863096448107
