correlation,global_median_wasserstein_distance,global_median_r_hat,global_median_ess,global_median_runtime,global_median_mmd,global_median_mmd_rff,global_q25_wasserstein_distance,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q25_mmd,global_q25_mmd_rff,global_q75_wasserstein_distance,global_q75_r_hat,global_q75_ess,global_q75_runtime,global_q75_mmd,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_dist_glass_delta,mmd_glass_delta,mmd_rff_glass_delta
0.0,0.028724909474740323,,,2.918070912361145,0.013091264555447634,0.013321567528643611,0.027775374903293456,,,2.90264755487442,0.012830169216471142,0.012409478895605956,0.029784825669373176,,,2.930930256843567,0.013815698033581174,0.013758713111534615,0.028887765468918535,0.029293665854754177,0.002218192720236872,0.013348978302899009,0.014543366248532417,0.001609264781430396,0.0132675518185259,0.014632380336264393,0.0017820470008949227,-0.18298697950478238,-0.742194795670465,-0.7658768354892392
0.3,0.028027411815395614,,,3.0534974336624146,0.013388571262818429,0.013779045827546552,0.02662200385952047,,,3.0405632853507996,0.01241704382774939,0.013112249949003708,0.03134449125523508,,,3.076672613620758,0.015909600065693204,0.016229489518435752,0.0294300524044247,0.029845696134194744,0.0045431440902903445,0.014500767795657106,0.01584491000598758,0.003590214048726775,0.014782489588417845,0.015957808063231573,0.0037631828446261914,-0.0914881239752799,-0.3743905494456957,-0.3123203212121563
0.5,0.03844559313069089,,,3.137042999267578,0.02111298082800348,0.020473691126161722,0.030018102741060378,,,3.0809876918792725,0.015935328064924845,0.01611802081721036,0.05458019949759909,,,3.2051990628242493,0.0295757129618429,0.03011877626989237,0.044645219124759404,0.026012896310620075,0.0022674221788467086,0.02461363915070593,0.013518764096639303,0.0020859244295536976,0.024699319904797127,0.013480813038621316,0.0022440375055445636,8.217403440772724,5.3189247399727115,4.999251054609001
0.9,0.07163209364276818,,,3.7318485975265503,0.043994234893935495,0.04452673408474685,0.04384044248862265,,,3.2009960412979126,0.030100081630626878,0.02996228694542139,0.1277230172981205,,,3.8159543871879578,0.07694367374547514,0.08062477143273077,0.08551270824153946,0.024318981600411804,0.004588611131521414,0.052456331499970414,0.013540192945031152,0.0037580454372950823,0.053521567293125405,0.013615506860224523,0.0038762266541221896,13.336001872278525,10.355419912897547,10.295079208142438
0.99,0.11096331755937464,,,3.685581922531128,0.06705347864620902,0.06885732584771677,0.08313196875553658,,,3.5047070384025574,0.05265732436415758,0.05259493325410042,0.1434093391435733,,,4.094624400138855,0.0792292947678825,0.07934602300968835,0.12024090777622161,0.023793141529654418,0.008479276526297872,0.07369007706822027,0.014319783294742485,0.00594697100083602,0.0732954297871209,0.01427743227683296,0.005730538379266389,11.374527761589247,9.98328287881874,10.298857385515547
