mu,global_median_wasserstein_distance,global_median_r_hat,global_median_ess,global_median_runtime,global_median_mmd,global_median_mmd_rff,global_q25_wasserstein_distance,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q25_mmd,global_q25_mmd_rff,global_q75_wasserstein_distance,global_q75_r_hat,global_q75_ess,global_q75_runtime,global_q75_mmd,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_dist_glass_delta,mmd_glass_delta,mmd_rff_glass_delta
"(4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.030559883665786623,1.0016746265074632,3552.1498825132076,4.633178353309631,0.013917893747588565,0.013974996571450848,0.029901071735772805,1.001371696015216,3470.840271212582,4.088466048240662,0.013514695230457762,0.013063523497472942,0.03160108594129738,1.0018745430420846,3618.433395643753,4.868977427482605,0.015240606257169142,0.016076180395259054,0.031127772713415686,0.030317410487475323,0.0012111958675533575,0.014645402524572956,0.01396151274859433,0.0009038727102022261,0.014565887292121299,0.013957711808325573,0.0012175034327927949,0.6690596027026676,0.7566217767827266,0.49952670967066665
"(6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.031183830227075143,1.001711210237836,3491.904515313351,4.402221918106079,0.013470898279884583,0.013346999597256723,0.029802052103854317,1.001526081204084,3385.80683892476,4.269256591796875,0.012309990118897968,0.012554369074083908,0.031848419260294206,1.0022236334740573,3538.6226523357377,4.5190131068229675,0.014056108897619365,0.014430496517381985,0.03154869471364267,0.032273828356053164,0.001690692565607574,0.013794019893274168,0.014103479030636556,0.0012100232007597068,0.013799986236532507,0.01396663629161264,0.0010299917493404355,-0.42889739812034294,-0.2557464494631973,-0.16179746603489603
"(15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03651341545823102,1.0019712264709497,3508.561249747285,5.741559982299805,0.011015614140261941,0.011253014466087051,0.03488885829408245,1.0018553266672445,3440.1356308552135,5.16094446182251,0.010165706129641803,0.010576461693412673,0.03880564245019399,1.0021831309744924,3572.0038627638282,6.0540419816970825,0.011861557658031072,0.012237047174461444,0.039047969032882594,0.045219249340167744,0.015559337246765064,0.012070468287543079,0.014928359430707418,0.007119678105528222,0.012293356087996957,0.014729379354134523,0.006442501448917835,-0.3966287387059637,-0.4014073530859872,-0.3781176124604134
