nu,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2.1,-219.13879195548574,3.0706557586092e-48,-40.00908652615039
3.0,-206.06023916447307,1.8271588254026437e-47,-37.621280398430464
4.0,-160.62850509222434,2.489242421510059e-44,-29.326618539114904
10.0,-120.88537390430585,9.350784366379608e-41,-22.070548719944888
50.0,-53.83814147452125,1.2867306066066319e-30,-9.829454846583245
