nu,global_median_wasserstein_distance,global_median_r_hat,global_median_ess,global_median_runtime,global_median_mmd,global_median_mmd_rff,global_q25_wasserstein_distance,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q25_mmd,global_q25_mmd_rff,global_q75_wasserstein_distance,global_q75_r_hat,global_q75_ess,global_q75_runtime,global_q75_mmd,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_dist_glass_delta,mmd_glass_delta,mmd_rff_glass_delta
2.1,31.695742688508055,1.0028002591040561,3142.4918846924106,1.7518632411956787,0.426533443228033,0.4247141483204838,31.290873095766884,1.0024318514307349,2997.7526400115794,1.7200804352760315,0.42073717199912686,0.4150013104895838,31.963277916789202,1.0031659548570335,3199.6879327577867,1.784073829650879,0.4361969184037194,0.44392936191994586,31.683855404165865,0.10814381131688307,0.029142254901128616,0.42613212613810086,0.016474158142018684,0.005442877540793619,0.4275591869168371,0.016102690257595437,0.004941982437352451,1083.502690508212,75.2649613969361,83.2573773531396
3.0,31.683427829347373,1.0030274822464065,3174.389564954049,1.764868974685669,0.43370416896615316,0.4382263881651022,31.409649023503,1.0028603006854095,3110.2334763211015,1.7280588150024414,0.4266100728469262,0.4362574344000163,31.91767610894619,1.0032924101627279,3365.8081856083763,1.7881330251693726,0.43824351781624504,0.4470106418993972,31.646734358782368,0.059608405998960695,0.014695966638213076,0.4334187886920682,0.01603313562391797,0.005961803136484556,0.44176508414478977,0.015484777403072096,0.00564791399393467,2149.3738200690536,70.00996905011297,75.4757078807331
4.0,31.575569264604212,1.002940739203129,3141.4886257715825,1.8272372484207153,0.4488702451927131,0.44507928235570926,31.38647136732891,1.0026493241637477,2949.456194888914,1.7706364393234253,0.4371556523120832,0.4385324110037575,32.10347629477163,1.0038204701140818,3265.865558438305,1.8836976289749146,0.4545614305588242,0.45087363662491414,31.689879642120488,0.0422143054471186,0.00881663098985341,0.44621183723709373,0.015834188383626147,0.004996782036799276,0.4463690360251902,0.015889018289857188,0.004878205028750676,3589.541784508729,86.13096302458472,88.2455770510286
5.0,32.393250093651986,1.0049975296984255,3147.873502291798,1.8490408658981323,0.4703892049223552,0.45585202924699986,31.456828275430972,1.0041953200748417,2965.113826527759,1.8191940784454346,0.46644210652061807,0.4486170694671835,32.978447565970704,1.0067757496015637,3233.0043430016885,1.9372426867485046,0.4811218769869606,0.4709104099580302,32.154362757217974,0.036540513742284654,0.006635634518940749,0.4715804912460913,0.0138734694176914,0.003061268207464992,0.45761213202503304,0.013894782783558789,0.003194031496518844,4840.203623602025,149.51549188413742,138.9207807515609
30.0,61.53369651142266,1.0186256399595184,2112.6827586429026,3.572629690170288,0.6273743382414378,0.6286467012950383,60.79351991245848,1.0114841616111523,1492.6196875657538,3.366221070289612,0.6228753668016338,0.6141134348948496,62.93458967399802,1.0288693436019116,2463.0466049754777,3.7324920296669006,0.6354371144788267,0.6683112901499213,61.756963426669095,0.025457624866976197,0.005265437555553281,0.6281197134499804,0.014890674730817578,0.00428850499448389,0.6399903509272415,0.0150382747442469,0.004570706744799729,11723.908060916223,142.99366317817785,136.72985625123007
