correlation,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
0.0,-64.31840013417948,1.0681581290808879e-23,-14.38203149040569
0.3,-79.81451288416434,1.7937136099744683e-25,-17.847067640002425
0.5,-66.09491434662138,6.379182062880797e-24,-14.77927214460715
0.9,-45.039316148435695,8.915256658337676e-21,-10.071097256800622
0.99,-50.421998918195044,1.0616299760485768e-21,-11.274701714250497
