correlation,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
0.0,6.659209275929785,165.45621890882586,10.044215201130019,1.2334336042404175,4.322572864145865,3.529882513711006,3.9769445124860265,0.5752316989036566,5.908731914551998,142.80173630631077,9.434000837390105,1.2150989174842834,4.294633444164764,3.460282368054214,3.763412696194857,0.5636756927765221,7.287148998051912,175.41874031062014,10.379559056180595,1.2499772310256958,4.362844725264088,3.582763104026786,4.146071794282902,0.6027635115227815,9.865195251733947,0.028921351323096645,0.001659785029034371,6.514194670110642,0.022810497165484195,0.002842666963524856,162.04252026363187,0.031634457323841576,0.003996614002737563,0.5876251426306555,0.014295582083907882,0.0014202966564129838,5926.233655772515,47.77426253277493,2.9352563034755315e-21,40537.036024828856,25.975221957389266,2.625769530558592e-16,2283.554231374314,29.309157516981955,2.791155365213749e-17,403.6688799892794,64.68097695860021,8.61426731151611e-24
0.3,6.928634658838803,183.41416902528266,10.843849928894947,1.2292726039886475,4.294230354789112,3.4966428087392707,4.153076027946988,0.5576326759033416,6.178580782976,169.91779905213536,10.396246742720095,1.2188462615013123,4.287735186013465,3.453566289947531,3.9682430432902978,0.540600235352638,7.240873281516248,200.82195530975451,11.217643911403757,1.2498772740364075,4.339917052302571,3.541243756068904,4.181559331224443,0.5796760536872173,10.789565604547416,0.02798005198076865,0.0016928047761973813,6.8310247059380504,0.021227515533960663,0.0029626192492133983,185.8741448795983,0.03233249061935048,0.004148871042453402,0.560531343601383,0.013999695380641242,0.0013796864476430305,6357.251411317996,75.56889889868897,5.048501585414689e-25,44793.3451021613,34.801146050186524,1.1312689723813536e-18,2298.5731940451515,39.44437863623953,1.0793826221390072e-19,396.1274310945085,83.68247911664669,5.925279045682369e-26
0.5,7.10697435629837,174.91130210843173,10.686117564301226,1.2256392240524292,4.28823157267883,3.5008595678786065,4.165553098601313,0.5854531430007848,6.583714890771405,167.5966252204072,10.444991839783146,1.207613229751587,4.268429637179249,3.400678691500593,4.068288703540373,0.571918277896992,7.843157712500291,194.59354076994592,11.33662191960552,1.2635455131530762,4.307428297501221,3.5608655611996274,4.350365505895301,0.6163150221506299,10.797456931547963,0.027896114181578818,0.0045969026510577415,7.143563238090458,0.021516336930576887,0.007618256982760507,180.85447184653898,0.031170992027892058,0.007866512901117723,0.5874724717559692,0.014702124015546708,0.0027273416160576588,2342.786357437507,69.39950021954425,2.5240979982735913e-24,22986.46212463703,29.068203797414245,3.255980664632155e-17,934.8656677342982,38.616366784396355,1.600233983294014e-19,210.01048947009266,68.31549536522242,2.153565750966957e-24
0.9,6.670757617663522,168.91743964823178,10.195428563915907,1.2218513488769531,4.292929405497974,3.5171462775259945,4.258209542758419,0.5750688699066457,6.079958347991803,160.52555379836946,9.973591306723284,1.2012212872505188,4.2620659044911635,3.443318014484388,4.1032543933691645,0.5588317675878579,7.206762668273444,182.64470634244458,10.354682833907496,1.2448499202728271,4.304934225307028,3.5660979966219664,4.3696390528586475,0.6248953189620597,10.27316386449316,0.024315820296123274,0.0055386614593853495,6.643863465517114,0.019816152433430514,0.00990490989693282,169.61661125188004,0.02413906870124306,0.012409699168763303,0.5846952356922084,0.01310834215920664,0.002976040005972723,1850.4196581342233,80.44446849590213,1.5319756596695385e-25,13666.12275421336,37.10182654389645,3.4089769129858474e-19,668.7640152218753,43.4226359724894,1.748332950218992e-20,192.06290654220481,63.458960914974874,8.697336289099583e-24
0.99,5.961230723566642,145.39303840262926,9.424700046318044,1.2402114868164062,4.296924980792272,3.4527362967826694,4.180686258816004,0.5757569066549801,5.345316849116066,138.9320240244278,9.215046449710917,1.2233200669288635,4.263769107612572,3.1169559461240643,4.0197098227912225,0.5411725456303507,6.576492090540562,163.21185530334117,10.008062946137956,1.3804336190223694,4.313819242627703,3.504781660816853,4.370395690326462,0.5966591878978377,9.52966258233483,0.02505305101259917,0.01067725087448848,5.90088272891064,0.020399097900093876,0.017208642563357836,149.35938325062156,0.025552445557868342,0.01465092363100675,0.5746487773266353,0.014343733799159389,0.00590543422298709,890.1738512140723,61.49450536804377,2.4482311233761975e-23,10192.792930066082,35.34735411307882,8.451003510928933e-19,341.71687914140256,29.12102210395119,3.0856568299541335e-17,94.87956725459252,70.71327556884643,1.4642776941488512e-25
