mm,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
5,-41.114108932383246,2.8997948313305894e-27,-7.506374964663649
8,-37.65694216899068,3.539060492094918e-26,-6.875185557541238
10,-44.812388200201944,2.4765445678207277e-28,-8.181585290976312
12,-35.54444355281581,1.8242472180059022e-25,-6.489497842615429
15,-29.856572917761273,2.5147971754548185e-23,-5.451039492285228
18,-30.03826943928343,2.1203413447172144e-23,-5.484212586771197
