mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.2262973409653215,1.035213368891723,583.2022156918438,6.107492923736572
6,HMC,0.12702569941984862,1.135473293169343,103.55155156914108,6.186803817749023
7,HMC,0.2903642180705338,1.282331595781225,56.1242769107265,5.809473276138306
8,HMC,0.1270121873076085,1.4543700184297739,38.803303761450145,5.884546279907227
9,HMC,0.8323128976163504,1.6412520991251844,32.407699635691515,5.955033540725708
10,HMC,1.0424204069774827,1.644265587616784,32.3343599642858,5.800954580307007
11,HMC,0.5971245973917902,1.6653164781810288,31.798391166759338,5.78110671043396
12,HMC,0.05595626805565116,1.6741489814428658,31.61320491873546,6.005993366241455
13,HMC,0.6320797245034925,1.6656738586350823,31.795825175249487,6.076678276062012
14,HMC,0.03381902234955729,1.6735927805620654,31.60243902784045,5.839911460876465
15,HMC,0.022137355879809036,1.6734659443195519,31.593501388361084,5.815484285354614
16,HMC,0.12467881980253988,1.6735638987342152,31.70369215615836,5.886098861694336
17,HMC,0.01864697933711884,1.6732781744078733,31.709731624836003,5.790648460388184
18,HMC,0.0342500937505137,1.6728845124618572,31.70651631280769,5.7992377281188965
19,HMC,0.03921810422462785,1.6732943602335804,31.624619140389573,5.752758741378784
20,HMC,0.019942808392960087,1.673253762673515,31.62194218228781,6.147167205810547
