mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.05057825801632794,1.011048880151393,2202.4385035070336,7.004488229751587
6,DEMetro,0.04905738542653239,1.0138384991064038,1669.5349725967037,7.214726448059082
7,DEMetro,0.02781030516759851,1.017670101368719,1346.1400141219026,6.944070100784302
8,DEMetro,0.4872755675100233,1.0317847172221646,785.0034765508428,7.3860578536987305
9,DEMetro,0.12352954911949846,1.0569296332183813,287.35793928850217,7.440254211425781
10,DEMetro,0.7435488272458365,1.1197234813378398,118.63808412394329,7.328567266464233
11,DEMetro,0.6222944926409143,1.1923007989857233,78.28325082625715,7.20671820640564
12,DEMetro,0.980373210925223,1.2034680628184302,67.45179631948291,7.035473585128784
13,DEMetro,0.3753205741533996,1.3031748546023143,50.80448837908024,6.795851945877075
14,DEMetro,2.225927359546715,1.4104989350149775,41.718054378779854,7.1533966064453125
15,DEMetro,2.4308560780687287,1.5346925889328862,35.684662675555934,6.807429552078247
16,DEMetro,2.185191548761599,1.512276239426566,36.41425137847426,6.7852160930633545
17,DEMetro,3.820453593034666,1.6553030202729666,32.42400873978303,6.933846473693848
18,DEMetro,3.7840327969876157,1.6255130555832056,32.83613645883617,7.234424352645874
19,DEMetro,5.715648665495702,1.6887257455690228,31.470112802591363,7.383779525756836
20,DEMetro,6.021767410537684,1.683585567806953,31.563660172893215,7.087845802307129
