mu,sampler,wasserstein_distance,reference_swd,relative_swd,swd_zscore,r_hat,ess,runtime
"(-10, 20, -30)",HMC,0.027196947482179008,0.027483879106486826,-0.00028693162430781793,-0.03383598928301096,1.0043266353126465,5461.963363362255,2.5345187187194824
"(-5, 0, 5)",HMC,0.0270923343528037,0.029149911867125546,-0.002057577514321847,-0.3498909382180789,1.0043159158246375,5461.963363362255,2.411673069000244
"(0, 0, 0)",HMC,0.0263096105119205,0.026708044659291608,-0.00039843414737110797,-0.06878556671267921,1.004321515377484,5461.963363362255,2.5531251430511475
"(50, -50, 100)",HMC,0.024334975371926953,0.026398805194255387,-0.002063829822328434,-0.6259430005791589,1.0043266353126465,5461.963363362255,2.5593340396881104
