mm,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
5,5.786328033511558,4.7145693113139565e-05,1.4940234739655585
8,0.6964888504415462,0.4975245039802697,0.17983264790528378
10,0.478700085915467,0.6395420439922113,0.12359983070524422
12,-0.10705437300563973,0.916264828762865,-0.027641320252634636
15,-0.09576888697304409,0.9250614793266052,-0.024727420288761345
18,0.08090010739713263,0.936666542761472,0.02088831791036574
