mm,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
5,1.0626448716090973,1.3871959696161014,1.0381733912003013,1.2912395000457764,16.035621727484568,12.506796045860812,,2.0,0.31801838797143134,0.6268323861998701,0.8312311671491954,0.5483042501145621,1.2890350818634033,4.151456902460948,2.4816932095384105,,0.5,0.18944458434180123,1.474996516748564,3.4778918322670203,1.2988301167327174,1.5404900312423706,42.225575342913835,32.703987042517966,,2.5,0.47770994237563447,0.925641148382798,0.050613350521958284,0.015490491489014787,1.0287288138191133,0.03624408422036673,0.017910955587129847,2.0008752242452608,0.08135040954894214,0.04298428094894911,0.31220527361223815,0.013482923342024982,0.004737157021289636,56.488059044567635,6.287492676574841,1.9818050712926794e-05,44.65643654656151,4.4794113249324985,0.00051761091056794,55.41215960090424,6.238126837332393,2.1533307488459945e-05,63.05941494607443,6.045465938786517,2.994751112692326e-05
8,2.907380917312295,11.325415582775035,2.6278722680212367,1.300309658050537,88.83539634254123,64.58097958373017,,0.0,0.6201733109043317,2.86673655146553,11.288570151181794,2.464810806371152,1.2953497171401978,71.01882728491627,53.78421864102306,,0.0,0.6107029087077351,2.932187146484351,11.37756384809543,2.7641965953379324,1.313619613647461,114.04900764761851,82.62429817245192,,0.0,0.6228462641047797,2.612117727365216,0.04579313961896979,0.019846173701330454,2.8858531812746073,0.035989721345838215,0.027223370286547335,11.312861610614135,0.07892242824146242,0.05836963222777512,0.6190437569074032,0.007492858121932783,0.00511536661954747,129.31079947033842,47.39671998741173,4.343641573382019e-17,192.46205181719503,360.4201693047362,1.1239393493857936e-42,104.68444685326321,135.83440125028676,6.917806600901635e-28,119.55172410292874,162.13185531633204,1.0206269658088607e-29
10,3.5387335802467708,17.641175485458245,3.302787392701498,1.3000547885894775,95.31888436660026,72.75815322400948,,0.0,0.6290240004326375,3.508046529955106,17.617069020958947,3.129024747218562,1.2936975955963135,89.53846578193078,66.82221025641839,,0.0,0.6157880808824425,3.591437249790194,17.680297575275567,3.4288045355737644,1.3104989528656006,98.13139293574727,75.85343010006576,,0.0,0.6390030788760133,3.2863875246956713,0.08103293008799227,0.04144512064997931,3.5483041551772816,0.07321903488908897,0.053705324305104336,17.65976321196784,0.09316499869277176,0.059852579564006955,0.6290189149511262,0.012334841556934689,0.008239431046115171,77.33973370902177,41.720509542528575,1.4755321807506985e-16,293.4977630243851,607.0903725245255,4.4962730225857645e-51,64.70652891966446,130.62083806774527,9.882546414555555e-35,74.84546808422571,126.80197613242905,7.0322974290126275e-31
12,4.257275648700806,25.48592779968272,3.8699755599424788,1.301354169845581,90.41190840393888,69.81276102876853,,0.0,0.6102611471914517,4.22102805852721,25.423024032988586,3.772204097246197,1.2944570779800415,77.11348150016894,59.21581028076268,,0.0,0.6041031962235149,4.305315981490283,25.5546249442213,3.974520106947328,1.3036504983901978,101.03467928285716,77.56313060958082,,0.0,0.6408547542650096,3.8652675261647436,0.08939557326607601,0.0494793321477694,4.256567942444631,0.07709361311935956,0.062065230627730894,25.490099801294168,0.14054467731921744,0.13001707449936914,0.6236865596927025,0.011574363942364267,0.008083455071326509,76.31210424631588,57.762923284787014,3.817537292803715e-19,194.97096994055156,498.5737511704066,4.970246366598978e-56,67.34002737207058,142.56129932832332,8.817995059052693e-37,75.72407966014582,79.85675910184818,1.7025857053926671e-22
15,5.31844619043758,39.72327862617662,4.831901829745709,1.291926383972168,97.88863511401935,76.04198269063559,,0.0,0.6312495631898877,5.244619053612212,39.56902375117495,4.521076832980876,1.2880834341049194,84.58070539226097,64.85823795510045,,0.0,0.6172490295316897,5.401929082148799,39.90093027374432,5.024076203022066,1.2975584268569946,111.67299158977437,86.41588448393217,,0.0,0.6435330273279871,4.806208813195702,0.11521878010299498,0.08622025757392317,5.317938917680547,0.11268641743643186,0.09906053672063572,39.73729037723315,0.17382817910502527,0.12439544788277179,0.628440681655584,0.012065676530197154,0.010071818645109856,54.40705195146007,55.912360745063644,7.027291567995093e-20,318.0459001635822,560.1295536023629,5.195555474415563e-45,52.54617704044588,138.70979042420126,4.13568882366806e-41,61.1979848768081,111.27803173237356,5.592240456323712e-31
18,6.31975164753797,57.308774644028425,5.5950012260091455,1.3033888339996338,88.33451596344725,56.610802204765214,,0.0,0.6241323739343941,6.262604769753604,57.0033802585309,5.4107392831305,1.2984542846679688,66.49063667661602,50.7014810625897,,0.0,0.6139547316791287,6.4181392994143955,57.40603551121163,6.024015471883784,1.317091464996338,113.68185356868477,87.26396914468947,,0.0,0.6308971377292669,5.7180618392836875,0.12927112615839784,0.054282622882255924,6.345917620503384,0.12991285118730164,0.07369413603959864,57.23315092669564,0.21496922088262518,0.1992829460908386,0.6236303884967901,0.011957240241937093,0.00564051017059588,102.95727097137326,45.02669000964326,7.216202966333271e-17,286.11671407056866,657.8282793829402,6.001429143193147e-56,84.34870266985678,162.30949169136102,9.529360467466142e-36,108.44287657586726,148.0056563493142,4.388475856211833e-29
