mode_means,global_avg_ws,global_avg_ws_std,global_avg_rhat,global_avg_rhat_std,global_avg_ess,global_avg_ess_std
8,0.28087171403721384,0.22046313667611517,1.024706761261993,0.012292461517711415,219.59706802293127,60.19879983883987
10,0.8084810582335953,0.8446241130164076,1.1520947439028755,0.04958439849383818,21.38528010521435,7.226382372326947
15,0.19672286556601726,0.3875439844478219,1.7158554628563123,0.05527890083884045,6.151708971181965,0.28098979954996317
20,0.04004735430594825,0.005527334951754797,1.7334944554634526,0.0005527576583371626,6.062204142033958,0.008370964600610608
