nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-2.6654445876827153,0.012433353870859969,-0.4866413754846266
2.5,-4.860258247734868,3.740363303195529e-05,-0.8873576925283064
3.0,-4.571172806977158,8.339330378848073e-05,-0.8345781535451993
4.0,-4.728262966889814,5.3959507822824003e-05,-0.8632587615939512
10.0,-6.54185580508654,3.644368318274918e-07,-1.1943739974640057
50.0,-7.91619646535227,9.909533710996588e-09,-1.4452931245720337
