mm,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
5,0.46199949081784136,0.4495216982507956,0.4565065962387078,1.8415027856826782,7.4421430883355475,3.973932529117954,1.5223794336792724,0.14092332619944636,0.32049010892476343,0.2869188158738749,0.3282543468667246,1.821695864200592,7.113907609669338,3.4937414175951798,1.3792689916561889,0.09641916953462175,0.7590483803548813,0.7792515644274007,0.6521610650867661,2.289008677005768,9.211019332514116,4.9831028771518655,1.568003799834659,0.22155236534834344,0.4763377667963945,0.04897196268619606,0.01611551071090271,0.5023586155948853,0.03448368196810463,0.01894737858766063,0.6005845560680283,0.07723474334267003,0.04297291232982916,0.1509548113483013,0.012297876419311207,0.004999416951255699,26.518911611102116,7.478402796463753,4.274760241425124e-07,12.178597734044684,4.922180635748539,9.045609560833561e-05,24.693386024992474,6.916008084678715,1.2993563603450589e-06,27.73462111300074,7.088586630705006,9.267430999537754e-07
8,1.390008416091735,2.540671179679987,1.2091250597854775,1.8507424592971802,7.013619099459316,3.4176802320787365,1.579917294777605,0.2927416936084204,0.13132013842671283,0.5512642678557093,0.16480574158596337,1.8239142298698425,6.180013377939789,3.2367763126020352,1.5567964052224115,0.028501762885431818,1.4890288128564735,3.0012314462355993,1.3676799525153769,2.3011444211006165,7.2685966726808875,3.876406195552537,1.757807088656487,0.3207788878923322,0.9419002618157502,0.0583731876344616,0.024552310472427334,1.0330585690514635,0.04672557878263607,0.03333187945757985,2.411510613485492,0.0886461313136143,0.08045302669910159,0.22619114323705997,0.010185241026974556,0.005919096288153915,35.98549615823344,5.757802079548238,1.4921214571687222e-05,28.872306953217667,4.354323441898066,0.00033981567305377324,29.591280369416133,5.662541014287662,1.8257844099350107e-05,36.493054293167226,5.61387255089376,2.0389603489604075e-05
10,1.6497361919544615,3.8311671668164564,1.4082803355048088,1.8581987619400024,6.909524387279173,3.352757821974116,1.6089938459735817,0.29818749526426047,0.06519177942679029,0.767540760101366,0.14718558363486953,1.831632673740387,6.112510819076514,3.147817642735961,1.5649291314886513,0.021269596637941732,1.835047618683123,5.2368296395880085,1.6555855012512717,2.29340398311615,7.218429307177129,3.872258600421791,1.7938957664830302,0.3313422673665424,1.2768537369321815,0.06335698761638477,0.03879373643121626,1.349330636389191,0.04846869198916792,0.04766160432907342,5.374838907199433,0.12010359434649834,0.08528090463438073,0.24693535800583985,0.008586386851679093,0.007279801519953061,31.280739133426938,4.394602868518418,0.00031022149853080275,61.616786728297726,3.599537238667416,0.001909621733921641,27.293708693026552,4.331757773959839,0.000357571630368467,32.74113593631294,4.446693666425382,0.00027562324952273734
12,2.035233112505641,5.842711781502746,1.859358428899077,1.8463362455368042,6.539650924981535,3.3230357646356055,1.6745703624831476,0.32517263275758473,0.09089334608186377,1.0567431083752936,0.15814648424598338,1.8344306349754333,6.150320652473938,3.1581668801384,1.5730651198784353,0.01925388605766938,2.112366685917049,6.503871204276384,1.995241675214659,2.251362442970276,7.143274409431898,3.5698446730120903,1.7692789929008077,0.3371033622361248,1.2475234836214828,0.09460314674450979,0.05739250711656395,1.2865417342739058,0.08777119834087695,0.07034234643791287,4.217773669435524,0.14136885319075057,0.09272568071079058,0.2049540193123664,0.012844731601215293,0.009387978878754043,20.08834244748006,5.533945623533741,2.3819018054013193e-05,43.96198318520835,6.271360149909309,5.024128258581771e-06,17.041946944307785,5.2454426090932245,4.472321232414535e-05,20.4633276440272,5.403545137748507,3.1782653264193454e-05
15,2.5437113848299258,9.216035281727915,2.253176284923051,1.8475055694580078,6.954381739079305,3.50403963962163,1.6080092615987263,0.32179566381138314,0.12644338363573632,1.2864632618880691,0.21425961818912045,1.8160826563835144,6.120486776869938,3.282314089831261,1.547878604179576,0.021727707673125457,2.806992343263917,11.122569193113765,2.6673487777897726,2.2813995480537415,7.302835539562616,3.9198640381082197,1.7753863330473085,0.34015134676810077,1.916264989418402,0.08353754056940879,0.037928805425014,2.0631312881469706,0.07261291699461733,0.04824500065135391,10.94877051690855,0.2048655498427358,0.14487949391600463,0.2531300118097053,0.008495993647622047,0.005614736284399926,48.32019960323643,4.891169885443442,0.00010113877692268379,74.15752689814545,3.6300602590501687,0.0017816872671310424,41.25854169921113,4.760513463576504,0.00013557443706039036,43.56999256434863,4.854047015442748,0.00010986563688289808
18,3.207843398360001,14.317388461574692,2.858496473374929,1.8546113967895508,7.100288990711831,3.5791808614058276,1.5801787909757121,0.3378846805895628,3.0472979426392124,12.131590442518373,2.682156082250121,1.818412959575653,6.617592956252279,3.057731419593715,1.5509975681472685,0.31717055932780314,3.3161005817111118,15.706257613299512,3.140926194073059,2.2898678183555603,7.394747322456964,3.95374392112773,1.6561379912209693,0.35498013333235545,2.8483636710430065,0.1327778170912793,0.08425028848425169,3.208831302030223,0.13457374223121404,0.09710579747447012,20.185836165697076,0.18373783083420547,0.15281328958296198,0.3328037692260747,0.011567520311041546,0.008157881721725033,32.23236267564036,7.0750509982759375,9.614266361473345e-07,130.89240071625957,4.528974060570079,0.000229525384748698,31.65884673988961,6.819236545414919,1.6072466468836231e-06,39.37740946397368,7.176585659709076,7.932050750922598e-07
