correlation,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
0.0,0.024947140368279976,0.01629516250565643,,,2.2640727758407593,0.022172606025755742,0.013211170754926813,,,2.1479626297950745,0.02844985255901862,0.018099994568567552,,,2.3401743173599243,0.026651619132658802,0.030032253804256632,0.005211140762119375,0.01630574452035476,0.018061242674068,0.004370560821010462,-0.6487321732262943,-0.40166427733349214
0.3,0.027423144326864952,0.017099770197631658,,,2.326342225074768,0.022938127243065296,0.015384788528692813,,,2.2177393436431885,0.03187756699438517,0.019174275259963805,,,2.40550434589386,0.029164270542698843,0.02979287334447592,0.006908828177118952,0.01746045669468377,0.01851663670205141,0.00424172866674279,-0.09098544437085873,-0.24899754094329551
0.5,0.025476343337044238,0.01687993544437839,,,2.396855115890503,0.022887402292946914,0.013510572684531711,,,2.318966805934906,0.030811686968333654,0.019949065085465713,,,2.556787371635437,0.027253917136564824,0.027524115563352002,0.008113864899495338,0.016318139000988375,0.016272534671220855,0.004949993711724871,-0.033300828906330876,0.009213007616453875
0.9,0.02491615307011039,0.015488825202013928,,,2.494580030441284,0.021618488901365397,0.012813296542875585,,,2.4045658111572266,0.0282004418303365,0.018573287235754923,,,2.6095191836357117,0.025810561670297605,0.026677479112443437,0.007568708619820174,0.015683189312322397,0.017341399057047336,0.0058056776831755365,-0.11453967720142322,-0.2856186366546526
0.99,0.023130988162097334,0.015787964690900613,,,3.021286368370056,0.02061581576350006,0.011782558880892207,,,2.870672285556793,0.03066512043948667,0.01790932620668635,,,3.198134481906891,0.026669385164044945,0.025897481060931763,0.007644998090241808,0.015318408836095053,0.015290546875329464,0.005025086648917515,0.10096851483827729,0.0055445732008603445
