mu,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
"(4, 0)",0.16301298339221307,0.021014558617887348,1.0009630537771936,3689.1927740501033,1.6961848735809326,0.14225021669604318,0.016770910609588772,1.000707199342461,3449.8385964603413,1.6346211433410645,0.18493198228349,0.02486015495424361,1.0013461026930461,3805.5773395083074,1.7458083629608154,0.16663794328418743,0.125930524686792,0.04287662390622799,0.021356294236112933,0.01888623780117044,0.00391344002516223,0.9494082063555971,0.6311726815949092
"(6, 0)",0.17682045701780932,0.021649261994500492,1.0009184812882348,3497.0952505425016,1.7278783321380615,0.15379378224426218,0.02005760221788365,1.0005801838006496,3293.0854237558865,1.6705045700073242,0.2080292772234237,0.024362144139897637,1.0014229807058677,3610.8519054549397,2.091466188430786,0.17957603266284006,0.12948173854670272,0.03462001041038386,0.021955282925540977,0.019446712339538662,0.0029616867550106307,1.4469751315011778,0.8470073959571427
"(15, 0)",0.26060106666176014,0.02780536562196926,1.0027026354760975,2320.1562065140993,1.8659489154815674,0.21696966658917397,0.023240641636977633,1.0019006461140945,1856.5893701782886,1.8140323162078857,0.3255162835993142,0.03538325766347944,1.0050261308574933,2898.863957871148,2.2838022708892822,0.2919122285221564,0.1582640861125158,0.05157263442826485,0.030800113778116926,0.01885177628018802,0.003431826511233656,2.5914546326994214,3.481626317302904
