mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.05419358983029568,1.0097944624276507,2400.3361124982316,7.114190902709961,0.0235923385220275,0.0019398083036010817,179.46624894018566,0.3241458132343734
6,0.08827230422712429,1.0146631995582431,1667.4891516360988,7.274593596458435,0.05935240336305068,0.0026900403064834266,138.44693954060384,0.269109150391761
7,0.12197719937436347,1.02242304117388,1053.0142890647455,7.040153937339783,0.08818310947677437,0.0067807806528302015,174.2001642450167,0.19162455792789723
8,0.15992530010025643,1.0381490641827757,595.2409088019963,6.931461730003357,0.11171617421064498,0.007566542993128514,131.0932909191421,0.16047647453372596
9,0.22358119518105057,1.0626673290239075,317.71094290403266,7.003470578193665,0.16263408416250558,0.01530918318214137,99.17960014022698,0.14243786908593636
10,0.35675226078195565,1.1051422489938707,161.79647894859986,6.946946659088135,0.2354071922157867,0.024423051357069035,49.97995720339492,0.20537442250463034
11,0.5091904909092384,1.1703467796989118,90.19242699580649,7.632315692901611,0.40249549628546344,0.03264036037467221,19.351667454939044,0.34821647258922656
12,0.7414776797300441,1.254144361377616,62.56731210352048,7.036175308227539,0.49462241156313824,0.046353026864597774,10.137210417778844,0.29239015573855026
13,0.7976896904630896,1.3384849888970856,49.67532052151735,6.967619457244873,0.5408262041478522,0.06464863438275145,8.73282405485202,0.15428421453936114
14,1.2659814141293506,1.4643425054341792,39.530985009877234,7.014997119903565,0.8794529829075511,0.05291417092447802,3.032908000779559,0.16839711831349571
15,1.399543833653106,1.531748728934833,36.28823444574579,7.023362560272217,0.9816388103429483,0.057513204768300255,2.391791111248957,0.17725938983078654
16,2.3751257964877452,1.5993934311301046,33.959752244554835,7.703202414512634,1.2378892009342264,0.06192605483253024,1.9251251311408633,0.3392311657992012
17,2.7536584758633817,1.6431840502617343,32.67020089926305,7.095533356666565,0.981259054509212,0.044614800395298276,1.242335291304476,0.4102611906501896
18,3.410404495547451,1.6744505891297623,31.894408098637932,6.980720705986023,0.5867840187287965,0.02209787373963369,0.5121496178781725,0.1648040548366267
19,3.6734774464997697,1.6815349386974854,31.772956469113723,6.992626090049743,0.44684967294631633,0.013962691112445066,0.3299182287601541,0.18080665302337
20,3.9998427877117133,1.6868005823361876,31.613930177535668,7.020841779708863,0.3181949156792191,0.006040511179452257,0.19977237057421676,0.18004380083042815
