mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.06663953164253919,1.0100312142090517,1896.5122042759251,4.66760684967041,0.038048656401473056,0.002528496152248909,187.70637179092967,0.09433281574541437
6,0.0962253870880382,1.0219045923377126,907.5833734911644,4.646029081344604,0.058423024393225616,0.005654623608455774,169.0609502193882,0.0649247575118979
7,0.15805651255891429,1.0477469339459433,367.34073733568215,4.654916434288025,0.09433960498491101,0.009954809061902338,101.82451655130893,0.07626428329642616
8,0.2607762083267475,1.1089613168571306,135.5805470784409,4.817554755210876,0.2144501946655997,0.022639501386017568,32.19741501233941,0.10739541321762984
9,0.43745604161823315,1.2377590928263802,64.46773396510876,4.717872061729431,0.32641537176616275,0.05328198745181441,12.21240074757359,0.15189192296264967
10,0.9310310531367689,1.4187042388313342,41.998695114899355,4.635085535049439,0.6921415752193084,0.07726304721384782,5.6200272936723845,0.07217194067508406
11,1.5395056770738968,1.5682192660537635,34.58752936668966,4.619425082206726,0.7214109604459288,0.04854464837345215,1.6182545705208147,0.06857085678573865
12,2.2210692773611322,1.64192820353868,32.45751005898336,4.635362725257874,0.6226232207781833,0.03273061641484452,0.8001119046324962,0.074684284263134
13,2.4746459653988,1.672432559250419,31.770470502659624,4.831292653083802,0.30952327393639884,0.010047062464883377,0.20551659344877524,0.11990746006373579
14,2.8827887128115277,1.67526659139606,31.705965874416307,4.743322811126709,0.28123352135652196,0.008128043991610105,0.17030677244316084,0.13072269350761415
15,3.01636382346705,1.677418818125663,31.664517210483872,4.632843523025513,0.12984640540797757,0.0055494205293282126,0.12472558898195055,0.07178921021696505
16,3.1258474583671574,1.6781660284780406,31.65206126971815,4.642396121025086,0.11196547714641049,0.0019690824648348547,0.06909583007399595,0.07326973769542415
17,3.3816670292959965,1.678332572875742,31.64851543125017,4.631968460083008,0.016236870948778563,0.001481374721848389,0.06756180617206932,0.08559799546599327
18,3.590207608347481,1.678332572875742,31.64851543125017,4.811831398010254,0.016299291417568765,0.001481374721848389,0.06756180617206932,0.10461989286219889
19,3.7954372741335822,1.678332572875742,31.64851543125017,4.7578720855712895,0.016285013530745518,0.001481374721848389,0.06756180617206932,0.16402092479375832
20,4.066120487332086,1.678332572875742,31.64851543125017,4.659434447288513,0.01626718865423434,0.001481374721848389,0.06756180617206932,0.08951121520937487
