mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.11668078467991581,1.0406194623628213,445.6590098901426,6.02040774345398,0.0881764772778177,0.011167360327143008,117.4922347688339,0.09744979411956471
6,0.23988405982214697,1.123731583578882,115.44016753804499,6.08044273853302,0.1775072542178723,0.025510799791022682,24.074303024817386,0.13676494525117328
7,0.407255955077797,1.2902488798752825,53.8399126831982,6.0529749298095705,0.29311710256114265,0.047981705160128105,7.400577958508141,0.13487054278471597
8,0.686821843827614,1.4955350949800914,37.50613557592937,6.00725866317749,0.4547897615796626,0.06652491334345349,3.1903604458501538,0.13490601782797612
9,0.7889974602662961,1.5984995620832407,33.763827072913884,5.988756508827209,0.6017788825850093,0.06260038484310726,2.331406084184125,0.10450003955211419
10,0.9440579838464096,1.620353983228201,33.11043229018729,5.953466682434082,0.7588542176100268,0.06314056836210846,2.0675391273974064,0.09962867251833936
11,1.0672960640868132,1.6323477234144017,32.72488393447508,5.950371718406677,0.6460961993415296,0.046721228157346854,1.5118027862211902,0.10002516322129
12,1.0045197085284812,1.6380919301323673,32.5787913684656,5.951950602531433,0.8031293258972828,0.050631637665268965,1.4542270823783496,0.1044223762413447
13,1.1477473886929277,1.6355174751415058,32.75240476257233,5.975751838684082,0.8921545959193184,0.05846883022092803,2.3717761952020515,0.12236656693230807
14,1.2262401648420733,1.6384775523785056,32.53757807447538,6.002654299736023,0.853399896495134,0.041505572192181005,1.1504985038218898,0.12703060900628207
15,1.4751213024103875,1.6201478630869028,33.54792129596685,5.975227012634277,1.3760692668229995,0.08665451075469024,4.645132239511301,0.10996274829607414
16,1.5045794012069273,1.6329026532148865,32.70430110957274,5.947130260467529,1.0169298849151303,0.049237790191610536,1.4209244763880218,0.10853421935316379
17,1.3490791529795672,1.6427393799869827,32.45839720073997,5.960516510009765,1.0399294679412567,0.04390478296723443,1.4749390912121196,0.09967656390424513
18,1.5847229974578567,1.636680533754007,32.6063557271367,5.941340336799621,1.164124267708975,0.04819597569486057,1.3876507277364851,0.10073249612435656
19,1.6234076509930722,1.6394519834101147,32.52651145757945,5.943656568527222,1.1556517335860912,0.041815123910755765,1.1671650444028676,0.11661499906328578
20,1.4440737040236342,1.6493523782620974,32.256129720617366,5.962587494850158,1.0496491960101508,0.03381658199383482,0.9639385930530524,0.12289968093168512
