nu,ws_t_stat,ws_p_value,ws_paired_cohens_d
2.1,-16.957009127426137,6.250546917068243e-13,-3.791702510400923
3.0,-21.027653879409193,1.2783556595177142e-14,-4.701926348169612
4.0,-20.76266025873644,1.6111761310358045e-14,-4.642671973226805
10.0,-24.206078824798183,9.661495832759688e-16,-5.412643772096696
50.0,-12.954512796637744,7.038467003668403e-11,-2.8967171228672903
