nu,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2.1,-81.47379470569466,1.2146153454695033e-25,-18.218094334679574
3.0,-126.67082042969363,2.8151756972386366e-29,-28.324456524646408
4.0,-170.70748051659987,9.764524539525877e-32,-38.17135307028382
10.0,-87.45099837095337,3.174899641266307e-26,-19.55463770576751
50.0,-36.92315150421591,3.7320660175095444e-19,-8.256267670695038
