mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,-20.517035360497392,2.00146681964604e-14,-4.587748576283907
8,-23.565817022014546,1.5828837610221747e-15,-5.269476880654618
10,-27.844561334761753,7.241146663626743e-17,-6.226233194818955
12,-25.91056672837546,2.7496917792188307e-16,-5.793778854019186
15,-17.9087485625555,2.347471044746473e-13,-4.004517917782573
18,-26.049067165180634,2.4913871874370595e-16,-5.824748493180164
