mm,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
0,-24.246575880910356,7.795380469496623e-13,-6.260438972621349
4,-27.465140331151602,1.4081994476531373e-13,-7.091468740253321
6,-28.76021419110162,7.466136940780165e-14,-7.425855373032986
8,-29.537327846160288,5.1695564318251506e-14,-7.626505255976492
10,-24.968058827541228,5.21597085581604e-13,-6.446725068412951
12,-31.248294900667844,2.376185374281454e-14,-8.068275049844313
