nu,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2.1,1.0903647463575112,6.019084776092129,1.0032073859039854,1.089457392692566,164.66742797264385,150.2204646148673,,83.5,0.10835872013334236,0.3585722428185968,3.663732897954744,0.4618657222216122,1.0839228630065918,60.2333331107355,55.45275584275201,,58.5,0.036244600213850134,2.3256789402831908,16.572238621004658,2.1707695676677004,1.0927993655204773,243.51072906095175,223.87795675857734,,94.25,0.24555986954150977,1.7396472690754536,0.17947383891515034,0.07488602769984481,1.8463303675170515,0.10092983877114516,0.07297272033488282,13.467154399963558,13.068887667944521,33.5704435766858,0.19790120985473533,0.01021935193307897,0.005923997525534165,20.83397234546514,5.158860722310872,1.6129602158776354e-05,0.01186361243959337,0.058814219234474184,0.9533844077106028,23.918534498042554,5.049208503077897,2.1953791694866858e-05,31.681623281018023,4.882289033808082,3.505090138545964e-05
3.0,1.1646217625108148,3.1885698601718806,1.0538837915235395,1.0991231203079224,181.23009666296252,165.94159518893014,,81.5,0.11736223660667064,0.3307167174420661,0.7893674593207305,0.3458872037861219,1.0967670679092407,12.860902085622982,11.704719147663969,,69.25,0.03421560649700467,1.9775105637911377,5.78499798547201,1.7745745033150695,1.101415753364563,240.28024420065924,218.4833432543591,,96.75,0.23928170460322973,1.230845504068207,0.15612193375504432,0.06922864919434242,1.319638765970838,0.12876155464885317,0.0936907928006188,4.718670162377139,1.343809223916706,2.5824568581275655,0.14801255231736696,0.01362954677447173,0.008654052294855738,15.524260300040526,6.025889127565977,1.425524497382544e-06,1.30684116864876,3.0162393226224227,0.004383088060602696,12.71071762468979,5.797181560483979,2.6457442862566182e-06,15.528332966369645,5.676249792284465,3.7670616813887925e-06
4.0,0.711942427461353,1.4980539664312342,0.7177765309199517,1.0999152660369873,246.57664436857974,199.73938126709868,,80.0,0.0870821048037699,0.3874172925325257,0.727590510364188,0.425355549746004,1.0964516997337341,161.67664904840106,130.16991750607664,,71.25,0.04424888586695109,4.275077096520188,27.027201027837112,3.7982728759358024,1.102779746055603,312.22046109867415,274.1342746086344,,88.0,0.48869590934764207,1.9248611354949325,0.11763469314139205,0.0563992072801955,2.0536423395796053,0.09650080355548749,0.06912771490702968,12.872018866148347,0.3884192781927306,0.2100506896373315,0.23185077835135245,0.01106600045581718,0.007073699341095963,32.043472408665316,4.910688586810867,3.2390818594237276e-05,59.43136682630988,3.7442219635226395,0.0007971961400932342,28.31196631707399,4.873011417448915,3.5933506980914555e-05,31.212067017443804,4.920018080902918,3.1554325770891935e-05
10.0,5.64420995463562,45.20845041910912,4.976920462332469,1.0972341299057007,444.0325348058632,403.02633090980567,,89.5,0.6198314491421749,5.540200446086519,44.98978720597688,4.687264119090754,1.0917161107063293,378.4699046905544,344.9815614340976,,0.0,0.6028645305936142,5.691882069927429,45.33969486014854,5.308738547303129,1.103001356124878,486.0912288768756,442.1085036705158,,95.5,0.6351233110010224,4.198139748839912,0.10099968416271765,0.06675803639942486,4.65261189868373,0.08773953163431049,0.08015043970917322,36.491632725986875,0.2118510326203878,0.16443191450257416,0.5167221306952998,0.009710730669084306,0.008460756306469589,61.37298646957346,11.799807605455912,1.3161234127285436e-12,220.6371056562656,11.112640074512939,5.706548344780768e-12,56.95380316830588,11.958932481333282,9.445410464792066e-13,59.925068358076324,12.067529944870051,7.604097297810645e-13
50.0,5.6298408709956345,45.162091970208536,5.099377835624162,1.1003881692886353,474.2074626505326,416.5260104735522,,67.5,0.6108355549399227,5.568990222278352,45.05349781206604,4.701659487875189,1.0977436900138855,438.70403572381133,309.89125800321654,,0.0,0.5901415096540886,5.673986483156295,45.30124049749023,5.291294352302111,1.1041908860206604,503.387240906953,445.19394036383494,,93.75,0.6276810398126472,4.3459689089851805,0.09897799220761178,0.049624231374063715,4.803448686357417,0.08747460160750914,0.059722545974973715,37.920857017600525,0.22620993297659822,0.1599064844892394,0.5252072603782029,0.009446940643448153,0.005939547974632969,85.5830065107522,13.266111312702654,7.432464753277802e-14,235.7293214532555,12.439585731512606,3.751502331823057e-13,78.96471939970712,13.311991122162318,6.783428067879162e-14,86.83494466876931,13.523309232683367,4.586405484061651e-14
