nu,sampler,wasserstein_distance,swd_zscore,r_hat,ess,runtime
1,DEMetro,2.8416560521571466,-0.3325980249551391,1.0314001271433615,412.21614089144185,6.404637098312378
2,DEMetro,0.25932950072183647,2.54117304729747,1.0152561456586506,673.086235108408,5.797638654708862
5,DEMetro,0.16776603183138042,3.2422972289925838,1.0162595639013652,470.1518166154587,6.359898567199707
10,DEMetro,0.4368980276532266,9.623473885497507,1.0190774175362889,633.8572130025403,6.330017805099487
