means,sampler,wasserstein_distance,mode_distance
"(8, -8)",DEMetro,0.5979956027412128,16
"(7, -7)",DEMetro,0.37852686376747785,14
"(6, -6)",DEMetro,0.6260669814241532,12
"(5, -5)",DEMetro,1.3969709655948548,10
"(4, -4)",DEMetro,0.30514264465909335,8
"(3, -3)",DEMetro,0.05674560974983952,6
