means,sampler,wasserstein_distance,mode_distance
"(8, -8)",Metro,5.779602929463699,16
"(7, -7)",Metro,4.736360253691367,14
"(6, -6)",Metro,3.1779506713051306,12
"(5, -5)",Metro,0.9966655417245142,10
"(4, -4)",Metro,0.028851738616541566,8
"(3, -3)",Metro,0.20052395105425136,6
