means,sampler,wasserstein_distance,mode_distance
"(8, -8)",HMC,5.755680570868125,16
"(7, -7)",HMC,4.955689983062876,14
"(6, -6)",HMC,4.334762033488484,12
"(5, -5)",HMC,3.5629061506106963,10
"(4, -4)",HMC,2.205027699510528,8
"(3, -3)",HMC,0.10380743854708496,6
