a,sampler,wasserstein_distance,r_hat,ess,runtime
1,DEMetro,0.10240003871075846,1.0053957123034387,3958.719006242717,8.788166999816895
2,DEMetro,0.10955799554294998,1.0052437970896488,4180.430303292286,9.881333351135254
3,DEMetro,0.183552726605482,1.0043064450476944,4652.101061648794,9.71650218963623
5,DEMetro,0.26400385305076063,1.0060189844576515,3300.680429755378,9.518547534942627
