mm,ws_t_stat,ws_p_value,ws_paired_cohens_d
0,-6.476215807664088,0.023022617058707746,-3.7390449398849714
4,-8.570989860163328,0.013340713485684438,-4.948463302986851
6,-9.492982515751278,0.01091536547061506,-5.480776010881411
8,-14.471176052512305,0.004741274613431635,-8.354937389408446
10,-7.8295758366568275,0.015924011932848085,-4.520407716934409
12,-7.176115867991365,0.018870816994036508,-4.14313242812076
