means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",Metro,4.4047579495787454,1.753036941810865,6.328394448878344,12
"(5, -5)",Metro,1.1916429821630767,1.545842363917794,7.505841325393569,10
