dimension,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2,-2.11327061362459,0.04803361787844086,-0.4725416746917276
5,-18.770231654503622,1.0061906206782137e-13,-4.197151393288844
10,-42.13020268340096,3.132523574266708e-20,-9.420599710592859
15,-82.31010262440795,1.0009139335168572e-25,-18.405098470316
30,-71.15073282343805,1.580820957710394e-24,-15.909787524213302
