nu,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2.1,0.0006036893439039091,0.9995472330264485,0.00026997808205227777
3.0,-16.8527224547735,7.266829156780063e-05,-7.536766602962134
4.0,-24.059587530735886,1.770163318806215e-05,-10.759774645866349
10.0,-23.378764181379246,1.9842038733452193e-05,-10.455301187900243
50.0,-31.066029697588096,6.397557205177688e-06,-13.893150838966843
